"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"205","cell205",463,10,130.000000000046,9082218,0.276636836115622,4502643
"206","cell206",3068,63,210.008333333307,11139467,1.98172574676171,14664242
"207","cell207",225,5,200.008333333316,9238286,0.40317080555904,5407506
"208","cell208",4447,91,280.008333333243,11427792,0.48297612635222,15644413
"209","cell209",2246,46,320.008333333207,11801830,1.43092525945342,18019513
"210","cell210",2480,51,210.008333333307,10432114,0.275458568403822,10976403
"211","cell211",3440,71,10.0000000000001,8331120,1.90395627380821,2877775
"212","cell212",2138,44,220.008333333298,9244246,2.22281866483539,5422543
"213","cell213",2431,50,210.008333333307,10885375,0.748819709197342,13720982
"214","cell214",3747,77,140.000000000037,9121243,1.4360357302528,4616754
"215","cell215",2477,51,180.000000000001,10016010,1.89869065118138,7716518
"216","cell216",13,1,40.0083333333317,8624506,0.439879732615984,3778987
"217","cell217",676,14,300.008333333225,10039547,0.752751531867503,7752806
"218","cell218",241,5,360.00833333317,11725546,0.880368256611077,17336645
"219","cell219",3022,62,240.008333333279,10738115,0.772920255727973,13245529
"220","cell220",2078,43,110.000000000034,9255441,1.3787279685394,5438449
"221","cell221",2385,49,240.008333333279,11893918,1.30981622547057,19554940
"222","cell222",1497,31,180.000000000001,9160536,0.523769234155215,4791511
"223","cell223",1517,31,380.008333333152,11260390,1.42105389093298,14852397
"224","cell224",603,13,60.0083333333306,9024276,0.340030546539354,4111604
"225","cell225",1312,27,290.008333333234,9885573,0.759530061045673,6770789
"226","cell226",580,12,320.008333333207,11293758,1.28782383973311,14923028
"227","cell227",2589,53,320.008333333207,9992308,1.5319696989234,7684855
"228","cell228",2531,52,230.008333333288,9731039,0.606191003240013,6220080
"229","cell229",1350,28,180.000000000001,9957224,1.26878212327801,7413594
"230","cell230",3883,80,30.0083333333323,8464115,1.31115784826112,3374027
"231","cell231",4864,100,40.0083333333317,8685330,1.30652185397365,3807765
"232","cell232",63,2,50.0083333333311,9088087,1.42619355137827,4548870
"233","cell233",4000,82,220.008333333298,9109210,0.894955541066396,4567081
"234","cell234",3465,71,260.008333333261,11942540,0.254944276375829,20018459
"235","cell235",4112,84,360.00833333317,11837044,0.280917029630338,19216094
"236","cell236",1100,23,130.000000000046,9155289,1.34817864593894,4754035
"237","cell237",2478,51,190.008333333325,10286804,0.372885672338482,9935990
"238","cell238",4497,92,290.008333333234,10214309,1.89955683499683,9382389
"239","cell239",3363,69,220.008333333298,10226812,1.43810430822362,9390753
"240","cell240",2966,61,170.00000000001,10410907,0.533298377488372,10865148
"241","cell241",3271,67,280.008333333243,9742995,1.45160442576096,6330586
"242","cell242",3859,79,280.008333333243,12015497,0.542998649454768,21216331
"243","cell243",4351,89,300.008333333225,10633155,0.408175649681401,12970163
"244","cell244",2035,42,170.00000000001,9060092,0.532790343836757,4238501
"245","cell245",2287,47,240.008333333279,10419672,0.275257718094037,10894887
"246","cell246",3739,77,60.0083333333306,8875157,0.970479075842741,3941055
"247","cell247",2428,50,180.000000000001,9621297,0.276900137982613,5719311
"248","cell248",4555,93,380.008333333152,11777903,1.55474906678795,17846037
"249","cell249",3367,69,260.008333333261,11131752,0.335688049382909,14614646
"250","cell250",1690,35,150.000000000028,9762308,0.759445133629771,6359168
"251","cell251",918,19,270.008333333252,10016905,1.22027834782944,7722055
"252","cell252",844,18,20.0083333333328,8436210,0.454288212855675,3273928
"253","cell253",920,19,290.008333333234,10677664,0.468278139510801,13107913
"254","cell254",2429,50,190.008333333325,10120721,1.04323855175773,8385637
"255","cell255",237,5,320.008333333207,11012578,1.48844538474565,14038710
"256","cell256",1858,38,360.00833333317,9239032,0.613848381956491,5416759
"257","cell257",1101,23,140.000000000037,9160965,0.62877624705014,4791851
"258","cell258",2430,50,200.008333333316,10509173,1.85535701127271,11499567
"259","cell259",4585,94,190.008333333325,10766921,0.444581145566215,13350335
"260","cell260",4739,97,260.008333333261,10731599,0.532528656034278,13244856
"261","cell261",4451,91,320.008333333207,11694611,0.258650635662762,16604767
"262","cell262",2724,56,200.008333333316,9780064,1.33687866363975,6377472
"263","cell263",4256,87,330.008333333198,10835821,0.698340900246645,13536394
"264","cell264",2965,61,160.000000000019,10105565,1.49208149767709,8347662
"265","cell265",1972,41,30.0083333333323,8550745,0.536434451843898,3633990
"266","cell266",2829,58,270.008333333252,9964988,0.919860675562418,7578949
"267","cell267",3315,68,230.008333333288,10591333,0.752962672211614,12586442
"268","cell268",422,9,210.008333333307,10970278,0.37159989464671,13808463
"269","cell269",1515,31,360.00833333317,10448766,1.88639046621578,11085242
"270","cell270",2479,51,200.008333333316,10392892,0.463668955211274,10644030
"271","cell271",2333,48,210.008333333307,9889298,0.54351209508254,6993862
"272","cell272",4052,83,250.00833333327,10503922,0.511007751000842,11471300
"273","cell273",890,19,0,8169786,1.44708931615904,2612551
"274","cell274",1714,35,390.008333333143,11836666,0.361775692859556,19114299
"275","cell275",2430,50,200.008333333316,10509173,0.449572560776368,11502458
"276","cell276",2335,48,230.008333333288,10407702,1.8251472184008,10843449
"277","cell277",677,14,310.008333333216,10396870,1.21399979512423,10644751
"278","cell278",4438,91,190.008333333325,10494737,0.300710459824425,11460861
"279","cell279",2237,46,230.008333333288,10598358,0.550484315763395,12655517
"280","cell280",4739,97,260.008333333261,10731599,1.43612926364898,13245261
"281","cell281",699,15,40.0083333333317,8650495,0.284327149119813,3800428
"282","cell282",2192,45,270.008333333252,10742220,0.918129434903278,13253711
"283","cell283",4494,92,260.008333333261,9818416,1.88519564702344,6591814
"284","cell284",2482,51,230.008333333288,10883063,0.770311830338165,13713944
"285","cell285",3540,73,30.0083333333323,8572748,0.576655374184978,3732057
"286","cell286",4715,97,20.0083333333328,8604050,1.88135224291794,3777248
"287","cell287",2967,61,180.000000000001,10578209,1.93722383549201,12504846
"288","cell288",4681,96,170.00000000001,10099384,1.74590537627709,8324047
"289","cell289",482,10,320.008333333207,10468482,1.70216669181337,11280554
"290","cell290",3754,77,210.008333333307,10301150,0.38750096332726,9993402
"291","cell291",4177,86,30.0083333333323,8491238,1.18531612742063,3484593
"292","cell292",759,16,150.000000000028,9212049,1.08728833345717,5193715
"293","cell293",1124,23,370.008333333161,11783186,1.33949495248624,17865584
"294","cell294",2765,57,120.000000000042,9552007,0.371833865814071,5607645
"295","cell295",1206,25,210.008333333307,10853272,1.42684444333516,13656028
"296","cell296",1553,32,250.00833333327,11871692,0.444680514838387,19331141
"297","cell297",1416,29,350.008333333179,11883849,2.16465805408066,19416641
"298","cell298",3275,67,320.008333333207,10648315,0.686438353848105,13001891
"299","cell299",2038,42,200.008333333316,9450921,0.973625698792123,5546171
"300","cell300",4009,82,310.008333333216,10367356,0.334276606988806,10382555
"301","cell301",2141,44,250.00833333327,10625467,1.46078307556095,12961500
"302","cell302",819,17,260.008333333261,9695804,1.54682332331255,5892794
"303","cell303",4369,90,0,8344744,1.69226983830539,2886844
"304","cell304",2779,57,260.008333333261,11870838,0.78154355407048,19330854
"305","cell305",234,5,290.008333333234,10364551,1.10213754092183,10314066
"306","cell306",4525,93,80.0000000000097,9116396,1.29237166065657,4593742
"307","cell307",845,18,30.0083333333323,8570970,1.03152263800642,3724375
"308","cell308",1259,26,250.00833333327,10511190,0.524790578611918,11528642
"309","cell309",2379,49,180.000000000001,10837053,0.280671792312306,13548428
"310","cell310",2008,41,390.008333333143,11836440,1.74083791874916,19012838
"311","cell311",418,9,170.00000000001,9595260,1.2807580249676,5623341
"312","cell312",3772,77,390.008333333143,11886008,1.88182724734417,19461642
"313","cell313",4296,88,240.008333333279,10430019,0.630624518180584,10966994
"314","cell314",774,16,300.008333333225,10634061,0.609557390096202,12973128
"315","cell315",2589,53,320.008333333207,9992308,1.78844803003302,7686744
"316","cell316",919,19,280.008333333243,10400390,0.541219987331764,10644995
"317","cell317",1105,23,180.000000000001,9872197,0.855257247959772,6731682
"318","cell318",2333,48,210.008333333307,9889298,0.37138650717907,7007771
"319","cell319",2480,51,210.008333333307,10432114,1.44576529368833,10984197
"320","cell320",3374,69,330.008333333198,11950565,1.41833903714627,20475445
"321","cell321",2965,61,160.000000000019,10105565,0.280751605406929,8347989
"322","cell322",2476,51,170.00000000001,9599136,0.768266469795497,5675889
"323","cell323",3415,70,250.00833333327,9232077,1.27067207116615,5336323
"324","cell324",2589,53,320.008333333207,9992308,0.352982625813716,7686780
"325","cell325",352,8,0,8314985,1.3036346311448,2858422
"326","cell326",731,15,360.00833333317,10680296,0.68635157449783,13119680
"327","cell327",3809,78,270.008333333252,11564668,1.85108831917228,16020582
"328","cell328",1565,32,370.008333333161,11864270,0.99420515353134,19328775
"329","cell329",2857,59,60.0083333333306,8995623,1.42251792924739,4051041
"330","cell330",3422,70,320.008333333207,11445318,1.8860937330198,15697604
"331","cell331",1735,36,110.000000000034,9105346,0.620534790001096,4562843
"332","cell332",436,9,350.008333333179,11789013,1.99808470342897,17867516
"333","cell333",1105,23,180.000000000001,9872197,0.276813396056101,6738125
"334","cell334",1904,39,330.008333333198,11946611,1.47201154055564,20194320
"335","cell335",4835,99,240.008333333279,11311865,0.971915415382212,15210863
"336","cell336",2969,61,200.008333333316,11133832,0.305351757712382,14621640
"337","cell337",2038,42,200.008333333316,9450921,1.52073385138293,5547201
"338","cell338",3345,69,40.0083333333317,8763407,1.76262134060149,3822290
"339","cell339",481,10,310.008333333216,10287122,1.29255013936906,9939963
"340","cell340",769,16,250.00833333327,9795779,0.445542516048005,6435241
"341","cell341",1595,33,180.000000000001,10739271,1.41757088886555,13246045
"342","cell342",3168,65,230.008333333288,9551552,0.368685465841097,5594564
"343","cell343",4836,99,250.00833333327,11541025,1.27984200217362,15953433
"344","cell344",1919,40,0,8268665,0.619080074213924,2823503
"345","cell345",2479,51,200.008333333316,10392892,1.03879929897755,10644093
"346","cell346",2137,44,210.008333333307,9106567,1.07010563263164,4564029
"347","cell347",552,12,40.0083333333317,8702472,1.33978026438979,3810381
"348","cell348",3723,76,390.008333333143,11762308,0.433295434628026,17575034
"349","cell349",1398,29,170.00000000001,9807421,1.29363905593617,6455229
"350","cell350",668,14,220.008333333298,9175740,1.03875878071375,4798009
"351","cell351",2141,44,250.00833333327,10625467,0.329252477140707,12961744
"352","cell352",4190,86,160.000000000019,9472793,1.14183126748533,5555275
"353","cell353",916,19,250.00833333327,9110107,0.468190918967119,4568699
"354","cell354",1825,38,30.0083333333323,8517834,1.64459716244989,3589169
"355","cell355",1088,23,10.0000000000001,8503303,0.372990257770449,3521404
"356","cell356",4752,97,390.008333333143,11827588,0.454788702673259,18864448
"357","cell357",2508,52,0,8293008,0.445821702342641,2837544
"358","cell358",1283,27,0,8224661,0.538163747235785,2628681
"359","cell359",3559,73,220.008333333298,10121450,1.74291646066775,8405693
"360","cell360",320,7,170.00000000001,10003598,0.427378766858815,7712777
